timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673457352000,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-92,text,false,,1122,0,82,82,http:/,0,0,0
1673457344798,7489,HTTP Request,200,OK,new_users 1-62,text,true,,64499,122,81,81,https://www.banglapuzzle.com/,4550,0,660
1673457352288,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-62,text,false,,1122,0,81,81,http:/,0,0,0
1673457344798,7563,HTTP Request,200,OK,new_users 1-63,text,true,,64499,122,80,80,https://www.banglapuzzle.com/,4047,0,672
1673457352362,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-63,text,false,,1122,0,80,80,http:/,0,0,0
1673457345008,7389,HTTP Request,200,OK,new_users 1-74,text,true,,64499,122,79,79,https://www.banglapuzzle.com/,3850,0,1038
1673457352398,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-74,text,false,,1122,0,79,79,http:/,0,0,0
1673457343826,8777,HTTP Request,200,OK,new_users 1-16,text,true,,64499,122,78,78,https://www.banglapuzzle.com/,5019,0,912
1673457352604,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-16,text,false,,1122,0,78,78,http:/,0,0,0
1673457344780,7857,HTTP Request,200,OK,new_users 1-57,text,true,,64499,122,77,77,https://www.banglapuzzle.com/,4498,0,673
1673457352636,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_users 1-57,text,false,,1122,0,77,77,http:/,0,0,0
